词语,频率
婴儿,149
湿巾,120
洗脸,87
手口,66
专用,66
宝宝,61
一次性,58
湿两用,55
柔巾,50
加厚,50
纸巾,45
绵柔巾,42
80,38
新生儿,37
棉柔巾,37
纯棉,34
湿纸巾,32
100,25
婴幼儿,22
全棉,21
面巾,20
加大,17
清洁,16
保湿,16
卸妆,15
囤货,14
抽纸,14
带盖,13
乳霜,13
便携,12
超柔,11
柔软,11
18,11
消毒,10
平纹,10
儿童,10
纯水,9
亲肤,9
洁面,9
成人,9
酒精,9
悬挂,8
珍珠,8
抽取,8
云柔巾,8
12,8
可用,8
鼻子,8
实惠,7
小包,7
经典,7
小熊,7
口手,7
贩装,6
杀菌,6
添加,6
脸巾,6
新生,6
24,6
金盏花,6
面纸,6
木糖醇,6
植物,6
棉片,6
家庭,5
家用,5
大包,5
独立,5
卫生,5
10,5
16,5
屁屁,4
面膜,4
升级,4
柔肤,4
加量,4
厕巾,4
熊柔巾,4
抽包,4
随机,4
包带,4
超柔云,4
片盒,4
尿酸,3
母婴,3
20,3
612,3
云柔,3
婴童,3
抽起,3
组合装,3
大容量,3
整箱,3
家庭装,3
羊乳,3
洗碗,3
抹布,3
新旧,3
超纯水,3
超值,3
