词语,频率
婴儿,96
湿巾,78
洗脸,66
宝宝,57
专用,56
湿两用,53
手口,48
一次性,46
加厚,43
新生儿,37
纸巾,37
绵柔巾,28
抽包,27
柔巾,26
湿纸巾,26
棉柔巾,24
纯棉,21
面巾,18
加大,16
卸妆,15
婴幼儿,15
带盖,14
囤货,14
抽纸,14
清洁,13
便携,12
柔软,11
保湿,10
乳霜,10
全棉,9
亲肤,9
洁面,9
成人,9
悬挂,8
超柔,8
珍珠,8
儿童,8
可用,8
鼻子,8
实惠,7
抽取,7
小包,7
经典,7
平纹,7
贩装,6
纯水,6
消毒,6
包装,6
添加,6
脸巾,6
小熊,6
酒精,6
家庭,5
家用,5
杀菌,5
大包,5
独立,5
新生,5
云柔巾,5
屁屁,4
口手,4
随机,4
面膜,3
卫生,3
升级,3
抽起,3
组合装,3
熊柔巾,3
大容量,3
整箱,3
家庭装,3
新旧,3
超值,3
金盏花,3
山茶,3
面纸,3
木糖醇,3
包带,3
大包装,3
植物,3
片盒,3
装包,2
刺激,2
不掉,2
卷筒,2
必备,2
精华,2
尿酸,2
母婴,2
湿纸,2
大白,2
云柔,2
婴童,2
式洁,2
干湿,2
包量,2
敏感,2
专研,2
柔肤,2
厕巾,2
